City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
477,San Pablo,PH,84.99,overcast clouds,14.0669,121.3258,Ang Tahanan ni Aling Meding Hotel and Restaurant
480,Porirua,NZ,70.0,clear sky,-41.1333,174.85,Amethyst Court Motor lodge (Best Price on direct bookings)
482,Bambanglipuro,ID,84.79,overcast clouds,-7.95,110.2833,Puri Brata
486,Manta,EC,77.0,light rain,-0.95,-80.7333,Balandra Hotel
500,Urucara,BR,73.22,scattered clouds,-2.5364,-57.76,Hotel japa
502,Biak,ID,82.67,overcast clouds,-0.9131,122.8766,Penginapan Kim
510,Nanakuli,US,73.4,clear sky,21.3906,-158.1547,Camp Pālehua
515,Soyo,AO,79.56,light rain,-6.1349,12.3689,Hotel Mpampa
517,Chiang Khong,TH,81.0,scattered clouds,20.2613,100.4046,Chiangkhong Green Inn Resident
519,Launceston,AU,71.6,broken clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
522,Sao Joao Da Barra,BR,75.69,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
531,Savannah Bight,HN,75.99,clear sky,16.45,-85.85,Villa on Dunbar Rock
532,Curuguaty,PY,73.74,scattered clouds,-24.4694,-55.6945,La Esquina del Tereré
533,Manggar,ID,84.61,overcast clouds,-2.8833,108.2667,Guest Hotel
535,Bubaque,GW,77.94,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
537,Paidha,UG,75.09,overcast clouds,2.4167,30.9855,OPIPAAF (OTHUMBA PITHUA PALWONGA )
541,Port Augusta,AU,80.6,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
542,Labuhan,ID,84.09,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
543,Boyolangu,ID,85.37,light rain,-8.1181,111.8935,Yos ega cv
552,Bacungan,PH,87.8,broken clouds,9.9106,118.7022,Sumayang Property
556,Homa Bay,KE,75.27,clear sky,-0.5273,34.4571,ACK Guest House - Homa Bay
557,Santa Rosa,PH,84.99,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
561,Dhidhdhoo,MV,81.77,clear sky,6.8833,73.1,Dhidhoo beach
564,Le Port,RE,86.0,clear sky,-20.9373,55.2919,Villa Maido
565,Albury,AU,88.0,clear sky,-36.0833,146.9167,Albury Georgian Motel & Suites
569,Pedreiras,BR,73.18,light rain,-4.5688,-44.6003,Hotel Princesa do Mearim
570,Ugoofaaru,MV,82.2,scattered clouds,5.6667,73.0,Ungoofaaru Inn
573,Bonthe,SL,75.61,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
575,Salinopolis,BR,78.44,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
577,Gizo,SB,85.82,broken clouds,-8.103,156.8419,Imagination Island
578,Tutoia,BR,78.21,light rain,-2.7619,-42.2744,Pousada Guará's
583,Marigot,MF,77.0,scattered clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
584,Loei,TH,84.0,clear sky,17.4167,101.5,ไร่สานตม บ้านภูล้อม
585,Nelson Bay,AU,79.0,broken clouds,-32.7167,152.15,Mantra Nelson Bay
591,Abu Dhabi,AE,73.4,scattered clouds,24.4667,54.3667,Beach Rotana
603,Iquitos,PE,75.2,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
604,Bandarbeyla,SO,75.69,broken clouds,9.4942,50.8122,JABIR HOTEL
606,Haapiti,PF,78.8,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
608,Samarai,PG,84.88,overcast clouds,-10.6167,150.6667,Nuli Sapi
609,Fare,PF,81.81,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
610,Aracatuba,BR,73.83,overcast clouds,-21.2089,-50.4328,Hotel Nacional Inn Araçatuba
613,Padang,ID,79.75,overcast clouds,-0.9492,100.3543,Mercure Padang
621,Kualakapuas,ID,84.2,broken clouds,-3.0091,114.3876,Guest House Izonk
630,Mount Barker,AU,82.0,few clouds,-35.0667,138.8667,A Suite Spot in the Hills
633,Imbituba,BR,78.8,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
637,Catamarca,AR,73.99,broken clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
641,Asosa,ET,72.82,overcast clouds,10.0667,34.5333,Blendana Hotel Assosa
646,Viramgam,IN,73.4,smoke,23.1225,72.0484,'Hotel Asopalav & Guest House-honest
652,Sao Felix Do Xingu,BR,70.43,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
661,Letlhakane,BW,76.08,scattered clouds,-21.4167,25.5833,Motswedi Hotel P650
663,Esperantinopolis,BR,72.79,overcast clouds,-4.8667,-44.7083,Pousada Bil
666,Breves,BR,73.33,light rain,-1.6822,-50.4803,Hotel e Restaurante Grill
668,Kuching,MY,84.2,scattered clouds,1.55,110.3333,Hilton Kuching
670,Keti Bandar,PK,75.2,clear sky,24.1447,67.4497,Haji laloo memon house
672,Ambunti,PG,87.26,overcast clouds,-4.2365,142.8448,Ambunti Lodge
681,Kuruman,ZA,73.0,clear sky,-27.4524,23.4325,Cornerstone Guest House
682,Bontang,ID,83.34,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
686,Mehendiganj,BD,72.01,clear sky,22.8167,90.5333,Nahar complex
687,Khed Brahma,IN,80.01,clear sky,24.0333,73.05,UMIYA NASTA HOUSE
689,Noumea,NC,82.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
693,Bedi,IN,72.99,clear sky,22.5,70.05,Hotel Aram
694,Puri,IN,75.2,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
696,Barra,BR,76.23,scattered clouds,-11.0894,-43.1417,Motel Albatroz
698,Koulamoutou,GA,71.4,overcast clouds,-1.1303,12.4736,Motel Bouenguidi
702,Hobyo,SO,78.51,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
